id,northing,easting,altitude,start,stop,sd1500,sd750
1404,6104829.14,485130.15,1382.5,863481600,1,1,0
1405,6116523.37,485873.99,1377.07,863827200,1,1,0
1406,6117819.48,483623.57,1379.61,863913600,1,1,0
1407,6111322.3,488875.67,1372.26,864086400,1,1,0
1408,6112623.89,491123.65,1365.4,891907200,1,1,0
1409,6112628.75,489626.94,1369.33,866419200,1,1,0
1410,6112625.2,488122.98,1372.3,863827200,1,1,0
1411,6119151.94,481329.42,1384.14,856656000,1,1,0
1412,6106127.27,481377.98,1386.39,855619200,1,1,0
1413,6119148.5,478328.55,1390.75,856656000,1,1,0
1414,6103533.19,481373.68,1389.06,892339200,1,1,0
1415,6104848.84,483621.83,1385.12,862963200,1,1,0
1416,6104827.69,486625.24,1378.43,867110400,1,1,0
1417,6111328.65,490374.34,1367.58,866505600,1,1,0
1418,6119148.21,476838.22,1394.33,856742400,1,1,0
1419,6110037.97,477627.23,1395.87,856396800,1,1,0
1420,6110031.54,479123.02,1391.52,856310400,1,1,0
1421,6108731.51,475372.83,1401.81,856569600,1,1,0
1422,6108733.88,481376.4,1386.95,856224000,1,1,0
1423,6113926.93,485862.43,1377.24,863481600,1,1,0
1424,6110029.24,480619.43,1387.8,857174400,1,1,0
1425,6108728.22,476873,1397.98,856569600,1,1,0
1426,6108726.13,478380.83,1394.66,856224000,1,1,0
1427,6116515.2,479875.49,1388.73,856656000,1,1,0
1428,6108731.68,479878.51,1389.99,856224000,1,1,0
1429,6107436.59,476127.3,1401.17,856051200,1,1,0
1430,6107432.62,480625.8,1388.84,856137600,1,1,0
1431,6116523.56,481383.08,1385.03,856656000,1,1,0
1432,6107427.38,477628.46,1395.44,856137600,1,1,0
1433,6107427.52,479127.24,1391.9,856224000,1,1,0
1434,6119139.35,479823.86,1387.56,856742400,1,1,0
1435,6117819.81,479118.7,1390.21,856656000,1,1,0
1436,6106123.13,476872.72,1397.72,856137600,1,1,0
1437,6103527.02,478381.03,1394.19,855532800,1,1,0
1438,6119114.97,475372.44,1399.35,857952000,1,1,0
1439,6117823.42,480635.31,1387.16,856656000,1,1,0
1440,6106127.7,479868.67,1391.35,856224000,1,1,0
1441,6103539.72,475380.21,1399.75,855446400,1163062285,1,0
1442,6104830.54,477619.3,1396.2,855619200,966791114,1,0
1443,6104874.6,479111.38,1390.92,855619200,1,1,0
1444,6103546.96,476886.43,1395.03,855532800,1,1,0
1445,6106124.34,475370.75,1400.14,856137600,1,1,0
1446,6106123.77,478372.93,1394.07,856310400,1,1,0
1447,6104834.37,476125.74,1397.44,856137600,1,1,0
1448,6110025.09,486676.52,1376.34,865728000,1,1,0
1449,6112638.85,477629.42,1394.6,856051200,1,1,0
1450,6115223.52,491125.88,1365.56,863827200,1,1,0
1451,6115217.7,495627.54,1361.37,864604800,1,1,0
